#,单词,音标,解释,笔记
235,calculate,英:/ˈkælkjuleɪt/ 美:/ˈkælkjuleɪt/,v. 计算；估计；考虑；推测；计划；指望,
236,call,英:/kɔːl/ 美:/kɔːl/,vi. 呼叫；拜访；叫牌 vt. 呼叫；召集；称呼,
237,calm,英:/kɑːm/ 美:/kɑːm/,adj. 静的，平静的；沉着的 vt. 使平静；使镇定,
238,camera,英:/'kæm(ə)rə/ 美:/'kæmərə/,n. 照相机；摄影机,
239,camp,英:/kæmp/ 美:/kæmp/,vi. 扎营；露营 vt. 扎营；使扎营,
240,can,英:/kæn/ 美:/kən/,aux. 可以；能 n. 罐头 v. 罐装；解雇,
241,cap,英:/kæp/ 美:/kæp/,n. 帽子；盖 vi. 脱帽致意,
242,capital,英:/ˈkæpɪtl/ 美:/ˈkæpɪtl/,n. 首都，省会；大写字母；资金；资本家 adj. 重要的；大写的；首都的,
243,car,英:/kɑː/ 美:/kɑr/,n. 汽车；车厢,
244,card,英:/kɑːd/ 美:/kɑrd/,n. 卡片；纸牌；明信片 vt. 记于卡片上,
245,care,英:/keə/ 美:/kɛr/,n. 照料；忧虑；关怀；谨慎 vi. 关心；喜爱；照顾；顾虑,
246,careful,英:/'keəfʊl/ 美:/'kɛrfl/,adj. 仔细的，小心的,
247,careless,英:/'keəlɪs/ 美:/'kɛrləs/,adj. 粗心的；无忧无虑的；淡漠的,
248,carry,英:/'kærɪ/ 美:/'kæri/,vt. 拿，扛；搬运；携带；支持 vi. 被携带；被搬运；能达到,
249,case,英:/keɪs/ 美:/keɪs/,n. 情况；实例；箱 vt. 把…装于容器中；包围,
250,cat,英:/kæt/ 美:/kæt/,n. 猫；猫科动物,
251,catch,英:/kætʃ/ 美:/kætʃ/,vt. 赶上；抓住；感染；了解 vi. 赶上；抓住,
252,cattle,英:/ˈkætl/ 美:/ˈkætl/,n. [总称]牛；家畜；牲畜（骂人的话）；无价值的人,
253,cause,英:/kɔːz/ 美:/kɔːz/,n. 原因；事业；目标 vt. 引起；使遭受,
254,ceiling,英:/ˈsiːlɪŋ/ 美:/ˈsiːlɪŋ/,n. 天花板；上限,
255,cell,英:/sel/ 美:/sel/,n. 细胞；电池；蜂房的巢室；单人小室 vi. 住在牢房或小室中,
256,central,英:/ˈsentrəl/ 美:/ˈsentrəl/,adj. 中心的；主要的；中枢的 n. 电话总机,
257,century,英:/'sentʃʊrɪ/ 美:/'sɛntʃəri/,n. 世纪，百年；（板球）一百分,
258,ceremony,英:/ˈserəməni/ 美:/ˈserəmoʊni/,n. 典礼，仪式；礼节，礼仪；客套，虚礼,
259,certain,英:/ˈsɜːtn/ 美:/ˈsɜːrtn/,adj. 肯定的，无疑的；有把握的；某事，某人，某种；某位；轻微的 pron. 某些，一些，若干,
260,chain,英:/tʃeɪn/ 美:/tʃeɪn/,n. 链；束缚；枷锁 vt. 束缚；囚禁；用铁链锁住,
261,chair,英:/tʃeə(r)/ 美:/tʃer/,n. 椅子；（会议的）主席位；大学教授的职位；讲座 vt. 使…入座；使就任要职；担任（会议的）主席,
262,chance,英:/tʃɑːns/ 美:/tʃæns/,n. 可能性；机会，际遇；运气，侥幸 vt. 偶然发生；冒……的险,
263,change,英:/tʃeɪn(d)ʒ/ 美:/tʃendʒ/,n. 变化；零钱 v. 改变,
264,character,英:/ˈkærəktə(r)/ 美:/ˈkærəktər/,n. 个性；品质；字符；人物；名誉；地位 adj. [剧](角色)代表某一特性的,
265,chase,英:/tʃeɪs/ 美:/tʃeɪs/,vt. 追逐；追捕；试图赢得；雕镂 vi. 追赶；追逐；奔跑,
266,cheap,英:/tʃiːp/ 美:/tʃip/,adj. 便宜的；[口]小气的；不值钱的 adv. 便宜地,
267,cheat,英:/tʃiːt/ 美:/tʃiːt/,vt. 欺骗；骗取 vi. 欺骗；作弊,
268,cheek,英:/tʃiːk/ 美:/tʃiːk/,n. 面颊，脸颊；[俚]臀部 vt. 无礼地向…讲话，对…大胆无礼,
269,cheese,英:/tʃiːz/ 美:/tʃiːz/,n. 奶酪；干酪；[美俚]要人 vt. [俚]停止,
270,chemical,英:/ˈkemɪkl/ 美:/ˈkemɪkl/,n. 化学制品，化学药品 adj. 化学的,
271,chest,英:/tʃest/ 美:/tʃest/,n. 胸，胸部；箱子；衣柜；金库,
272,chew,英:/tʃuː/ 美:/tʃuː/,n. 咀嚼；咀嚼物 vt. 嚼碎，咀嚼,
273,chicken,英:/'tʃɪkɪn/ 美:/'tʃɪkɪn/,n. 小鸡；鸡肉；胆小鬼，懦夫 adj. 鸡肉的；幼小的；胆怯的,
274,child,英:/tʃaɪld/ 美:/tʃaɪld/,n. 儿童，孩子；子孙；产物,
275,chin,英:/tʃɪn/ 美:/tʃɪn/,n. 下巴；聊天；引体向上动作 vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作,
276,chocolate,英:/'tʃɒk(ə)lət/ 美:/'tʃɑklət/,n. 巧克力；巧克力糖；巧克力色 adj. 巧克力的；巧克力色的,
277,choice,英:/tʃɔɪs/ 美:/tʃɔɪs/,n. 选择；选择权；精选品 adj. 精选的；仔细推敲的,
278,church,英:/tʃɜːtʃ/ 美:/tʃɜːrtʃ/,n. 教堂；礼拜；教派 adj. 教会的；礼拜的,
279,cigaret,/ˌsiɡə'ret/,n. 香烟；纸烟（等于cigarette）,
280,cinema,英:/'sɪnɪmə/ 美:/'sɪnəmə/,n. 电影院；电影；电影业，电影制作术,
281,circle,英:/'sɜːk(ə)l/ 美:/'sɝkl/,n. 圆；圆形物；循环，周期；圈子 vi. 盘旋，旋转；环行,
282,circular,英:/ˈsɜːkjələ(r)/ 美:/ˈsɜːrkjələr/,adj. 圆形的；循环的；间接的 n. 通知，传单,
283,citizen,英:/ˈsɪtɪzn/ 美:/ˈsɪtɪzn/,n. 公民；市民；老百姓,
284,city,英:/'sɪtɪ/ 美:/'sɪti/,n. 城市，都市 adj. 都会的；城市的,
285,class,英:/klɑːs/ 美:/klæs/,n. 班级；阶级；种类 vt. 分类；把…分等级,
286,clay,英:/kleɪ/ 美:/kleɪ/,n. 泥土；粘土；肉体；似黏土的东西 vt. 用黏土处理,
287,clean,英:/kliːn/ 美:/klin/,adj. 清洁的，干净的；清白的 vt. 使干净,
288,clear,英:/klɪə(r)/ 美:/klɪr/,adj. 清楚的；清澈的；晴朗的；无罪的 vt. 清除；跳过；使干净；通过,
289,clever,英:/'klevə/ 美:/'klɛvɚ/,adj. 聪明的；机灵的；熟练的,
290,cliff,英:/klɪf/ 美:/klɪf/,n. 绝壁；悬崖,
291,climb,英:/klaɪm/ 美:/klaɪm/,vi. 攀登；爬；上升 vt. 攀登；爬；上升,
292,clock,英:/klɒk/ 美:/klɑːk/,n. 时钟；计时器 vt. 记录；记时,
293,close,英:/kləʊz/ 美:/kloʊz/,adj. 亲密的；亲近的；紧密的 vt. 关；结束；使靠近,
294,cloth,英:/klɒθ/ 美:/klɔːθ/,n. 布，织物；餐巾,
295,clothes,英:/kləʊðz/ 美:/kloʊðz/,n. 衣服,
296,clothing,英:/ˈkləʊðɪŋ/ 美:/ˈkloʊðɪŋ/,n. （总称）服装；[航海]帆装 v. 给…穿衣；覆盖（clothe的ing形式）,
297,cloud,英:/klaʊd/ 美:/klaʊd/,n. 云；云状物；一大群；阴云；黑斑 vt. 以云遮敝；使混乱；使忧郁；玷污,
298,club,英:/klʌb/ 美:/klʌb/,n. 俱乐部；社团；夜总会；（用作武器的）棍，棒；（纸牌中的）梅花 v.棒打，棒击,
299,coal,英:/kəʊl/ 美:/koʊl/,n. 煤；木炭 vt. 烧成炭；供应煤 vi. 加煤；装煤,
300,coast,英:/kəʊst/ 美:/kəʊst/,n. 海岸；海滨 v.（尤指不用动力向山坡下）滑行，惯性滑行；（不用多少动力）快速平稳地移动；不费力地取得成功；（做事）不出力；沿海岸航行,
301,coat,英:/kəʊt/ 美:/kot/,n. 外套 vt. 覆盖…的表面,
302,coffee,英:/'kɒfɪ/ 美:/'kɔfi/,n. 咖啡；咖啡豆；咖啡色,
303,coin,英:/kɔɪn/ 美:/kɔɪn/,n. 硬币 vt. 制造硬币 创造,
304,collar,英:/ˈkɒlə(r)/ 美:/ˈkɑːlər/,n. 衣领；颈圈 vt. 给…上领子；给…套上颈圈；[口]抓住,
305,collect,英:/kə'lekt/ 美:/kə'lɛkt/,vt. 收集；募捐 vi. 收集；聚集；募捐,
306,college,英:/'kɒlɪdʒ/ 美:/'kɑlɪdʒ/,n. 学院；学会；大学,
307,color,英:/ˈkʌlə(r)/ 美:/ˈkʌlər/,n. 颜色；脸色；肤色；颜料 vt. 给...涂颜色；粉饰；歪曲,
308,comb,英:/kəʊm/ 美:/koʊm/,n. 梳子；梳理；发卡；梳状物；鸡冠；蜂巢 v. 梳，梳理；认真搜寻，仔细搜查；梳理（羊毛、棉花等）,
309,combination,英:/ˌkɒmbɪˈneɪʃn/ 美:/ˌkɑːmbɪˈneɪʃn/,n. 结合；结合到一起的事物或人；密码,
310,come,英:/kʌm/ 美:/kʌm/,vi. 来；出现；到达；变成；开始；发生 vt. 做；假装；将满（…岁）,
311,comfort,英:/ˈkʌmfət/ 美:/ˈkʌmfərt/,n. 安慰；舒适；安慰者 vt. 安慰；使（痛苦等）缓和,
312,comfortable,英:/ˈkʌmftəbl/ 美:/ˈkʌmftəbl/,"adj. 安逸的, 使人舒服的 丰富的",
313,commit,英:/kəˈmɪt/ 美:/kəˈmɪt/,v. 犯罪；承诺；委托；托付,
314,committee,英:/kəˈmɪti/ 美:/kəˈmɪti/,n. 委员会,
315,common,英:/'kɒmən/ 美:/'kɑmən/,adj. 普通的；共同的；通常的；一般的 n. 平民；普通；公有地,
316,communicate,英:/kəˈmjuːnɪkeɪt/ 美:/kəˈmjuːnɪkeɪt/,"vt. & vi. 传达; 表达 vi. 通讯; 交际, 交流 相连; 相通",
317,company,英:/ˈkʌmpəni/ 美:/ˈkʌmpəni/,n. 公司；陪伴，同伴；连队 vi. 交往,
318,compare,英:/kəmˈpeə(r)/ 美:/kəmˈper/,vt. 比较；对照；比喻为 vi. 相比；比较,
319,comparison,英:/kəmˈpærɪsn/ 美:/kəmˈpærɪsn/,n. 比较；比喻,
320,compete,英:/kəmˈpiːt/ 美:/kəmˈpiːt/,vi. 竞争；比赛；对抗,
321,competition,英:/ˌkɒmpəˈtɪʃn/ 美:/ˌkɑːmpəˈtɪʃn/,n. 比赛 竞争,
322,competitor,英:/kəmˈpetɪtə(r)/ 美:/kəmˈpetɪtər/,"n. 竞争者,对手,敌手",
323,complain,英:/kəmˈpleɪn/ 美:/kəmˈpleɪn/,vi. 发牢骚；投诉；诉说 vt. 抱怨；控诉,
324,complaint,英:/kəmˈpleɪnt/ 美:/kəmˈpleɪnt/,n. 抱怨；疾病；诉苦；控告；投诉,
325,complete,英:/kəm'pliːt/ 美:/kəm'plit/,adj. 完全的；完整的；彻底的 vt. 完成,
326,completely,/kəm'pli:tli/,"adv. 完整地, 完全地",
327,complicated,英:/ˈkɒmplɪkeɪtɪd/ 美:/ˈkɑːmplɪkeɪtɪd/,adj. 结构复杂的,
328,computer,英:/kəmˈpjuːtə(r)/ 美:/kəmˈpjuːtər/,n. 电脑；计算机；电子计算机,
329,concern,英:/kənˈsɜːn/ 美:/kənˈsɜːrn/,vt. 涉及，关系到；使担心 n. 关心；关系；关心的事,
330,concerning,英:/kənˈsɜːnɪŋ/ 美:/kənˈsɜːrnɪŋ/,prep. 关于，涉及，就…而言,
331,concert,英:/'kɒnsət/ 美:/'kɑnsɚt/,n. 音乐会；和谐；一致 vt. 使协调；协同安排,
332,condition,英:/kənˈdɪʃn/ 美:/kənˈdɪʃn/,n. 条件；情况 v. 训练；决定；以 ... 为条件；护理（头发）,
333,confidence,英:/ˈkɒnfɪdəns/ 美:/ˈkɑːnfɪdəns/,"n. 信任；信心, 自信；知心话, 私房话",
334,confident,英:/ˈkɒnfɪdənt/ 美:/ˈkɑːnfɪdənt/,"adj. 确信的, 肯定的 有信心的, 自信的",
335,confuse,英:/kənˈfjuːz/ 美:/kənˈfjuːz/,vt. 使混乱；使困惑,
336,confusing,/kən'fju:ziŋ/,"adj. 莫名其妙的, 难以理解的",
337,connect,英:/kəˈnekt/ 美:/kəˈnekt/,vt. 连接；联合；关连 vi. 连接，连结；联合,
338,connection,英:/kəˈnekʃn/ 美:/kəˈnekʃn/,n. 联系；关系；连接；亲戚,
339,conscious,英:/ˈkɒnʃəs/ 美:/ˈkɑːnʃəs/,adj. 意识到的,
340,consider,英:/kənˈsɪdə(r)/ 美:/kənˈsɪdər/,vt. 认为；考虑；细想；考虑到 vi. 认为；考虑；细想,
341,consist,英:/kənˈsɪst/ 美:/kənˈsɪst/,vi. 组成；在于；符合,
342,contain,英:/kənˈteɪn/ 美:/kənˈteɪn/,vt. 包含；容纳；控制；牵制（敌军） vi. 含有；自制,
343,container,英:/kənˈteɪnə(r)/ 美:/kənˈteɪnər/,"n. 容器 集装箱, 货柜",
344,continue,英:/kən'tɪnjuː/ 美:/kən'tɪnju/,vi. 仍旧，连续；继续，延续 vt. 继续说…；使…继续；使…延长,
345,continuous,英:/kənˈtɪnjuəs/ 美:/kənˈtɪnjuəs/,adj. 连续的；继续的；连绵不断的,
346,contract,英:/ˈkɒntrækt/ 美:/ˈkɑːntrækt/,n. 合同；婚约；合约；契约 v. 缩小；订合同；缩短；感染（疾病）；招致,
347,control,英:/kənˈtrəʊl/ 美:/kənˈtroʊl/,n. 控制；管理；抑制；操纵装置 vt. 控制；管理；抑制,
348,conversation,英:/kɒnvə'seɪʃ(ə)n/ 美:/ˌkɑnvɚ'seʃən/,"n. 交谈, 谈话, 会话",
349,cook,英:/kʊk/ 美:/kʊk/,vt. 烹调，煮 vi. 烹调，做菜,
350,cool,英:/kuːl/ 美:/kʊl/,adj. 冷静的；凉爽的；[口]出色的 vt. 使…冷却；使…平静下来,
351,copy,英:/ˈkɒpi/ 美:/ˈkɑːpi/,vi. 复制；复印；抄袭 vt. 复制；复印；抄袭,
352,corn,英:/kɔːn/ 美:/kɔːrn/,n. （美）玉米；（英）谷物；鸡眼 vt. 腌；使成颗粒,
353,corner,英:/'kɔːnə/ 美:/'kɔrnɚ/,n. 角落，拐角处；困境，窘境；地区，偏僻处 vi. 相交成角；囤积,
354,correct,英:/kə'rekt/ 美:/kə'rɛkt/,vt. 改正；告诫 vi. 纠正错误；调整,
355,cost,英:/kɒst/ 美:/kɔːst/,vt. 花费；使付出；使花许多钱 n. 费用，代价，成本；损失,
356,cotton,英:/ˈkɒtn/ 美:/ˈkɑːtn/,n. 棉花；棉线；棉布 vi. 和谐；一致；理解；亲近,
357,cough,英:/kɔf/ 美:/kɔf/,n. 咳嗽，咳嗽声；咳嗽病 vt. 咳出,
358,could,英:/kʊd，kəd/ 美:/kʊd，kəd/,aux. 能够 v. 能（can的过去式）,
359,council,英:/ˈkaʊnsl/ 美:/ˈkaʊnsl/,n. 理事会；会议；委员会；顾问班子；地方议会,
360,count,英:/kaʊnt/ 美:/kaʊnt/,v. 数数；计算总数；把……算入，包括；重要；正式接纳；认为，看作 n. 总数；数数；量的计数；事项，罪状；观点；伯爵；（纱线的）支数,
361,country,英:/ˈkʌntri/ 美:/ˈkʌntri/,n. 国家；故乡 adj. 乡下的；粗野的,
362,countryside,英:/ˈkʌntrisaɪd/ 美:/ˈkʌntrisaɪd/,"n. 乡下, 农村",
363,courage,英:/ˈkʌrɪdʒ/ 美:/ˈkɜːrɪdʒ/,n. 勇气；胆量,
364,course,英:/kɔːs/ 美:/kɔːrs/,n. 进程；过程；道路；一道菜 vt. 跑过；追赶,
365,court,英:/kɔːt/ 美:/kɔːrt/,n. 法院；朝廷；球场；奉承 vt. 向…献殷勤；设法获得；招致（失败、危险等）,
366,cover,英:/ˈkʌvə(r)/ 美:/ˈkʌvər/,vt. 包括；涉及；采访，报导 n. 盖子；封面，封皮；掩蔽物,
367,cow,英:/kaʊ/ 美:/kaʊ/,n. 奶牛，母牛；母兽 vt. 威胁，恐吓,
368,crack,英:/kræk/ 美:/kræk/,vt. 使破裂；打开 vi. 爆裂；破裂 n. 裂缝，缝隙；噼啪声,
369,crash,英:/kræʃ/ 美:/kræʃ/,n. 碰撞；崩溃；坠落 vt. 破碎；撞碎；坠落,
370,crazy,英:/'kreɪzɪ/ 美:/'krezi/,adj. 疯狂的；狂热的，着迷的,
371,cream,英:/kriːm/ 美:/kriːm/,n. 奶油，乳脂；乳酪；精华；面霜,
372,creature,英:/ˈkriːtʃə(r)/ 美:/ˈkriːtʃər/,n. 动物，生物；人；创造物,
373,crime,英:/kraɪm/ 美:/kraɪm/,n. 罪行，犯罪；罪恶；犯罪活动 vt. 控告……违反纪律,
374,criminal,英:/ˈkrɪmɪnl/ 美:/ˈkrɪmɪnl/,n. 罪犯 adj. 犯罪的；刑事的；罪恶的,
375,criticism,英:/ˈkrɪtɪsɪzəm/ 美:/ˈkrɪtɪsɪzəm/,"n. 批评, 批判, 指责 评论, 评论文章",
376,criticize,英:/ˈkrɪtɪsaɪz/ 美:/ˈkrɪtɪsaɪz/,"vt.&vi.评论, 批评",
377,crop,英:/krɒp/ 美:/krɑːp/,n. 农作物；庄稼；产量；平头 vt. 种植；收割；修剪；剪短,
378,cross,英:/krɒs/ 美:/krɔs/,n. 十字架，十字形物；交叉，十字 vi. 交叉；横过；杂交,
379,crowd,英:/kraʊd/ 美:/kraʊd/,n. 群众，一伙；一堆，许多，大众 v. 拥挤，挤满，挤进,
380,cruel,英:/ˈkruːəl/ 美:/ˈkruːəl/,adj. 残酷的，残忍的；使人痛苦的,
381,crush,英:/krʌʃ/ 美:/krʌʃ/,vt. 压碎；弄皱，变形；使…挤入 vi. 挤；被压碎,
382,cry,英:/kraɪ/ 美:/kraɪ/,vt. 叫喊；哭出；大声说 n. 叫喊；叫声；口号；呼叫,
383,cup,英:/kʌp/ 美:/kʌp/,n. 杯子；奖杯；酒杯 vt. 使成杯状；为…拔火罐,
384,cupboard,英:/ˈkʌbəd/ 美:/ˈkʌbərd/,n. 食橱；碗柜,
385,cure,英:/kjʊə(r)/ 美:/kjʊr/,vt. 治愈；治疗；加工处理；使硫化 vi. 受治疗；痊愈；治病；被硫化；被加工处理,
386,curl,英:/kɜːl/ 美:/kɜːrl/,vt. 使…卷曲；使卷起来 vi. 卷曲；盘绕,
387,current,英:/ˈkʌrənt/ 美:/ˈkɜːrənt/,adj. 现在的；最近的；草写的；流通的，通用的 n. 趋势；涌流；（水，气，电）流,
388,curve,英:/kɜːv/ 美:/kɜːrv/,n. 曲线；弯曲；曲线球；曲线图表 vt. 使弯曲；弯,
389,custom,英:/ˈkʌstəm/ 美:/ˈkʌstəm/,n. 风俗；习俗；（个人的）习惯，习性，惯常行为；（顾客对商店的）惠顾，光顾 adj. 定做（制）的,
390,customer,英:/'kʌstəmə/ 美:/'kʌstəmɚ/,n. 顾客；[口]家伙,
391,cut,英:/kʌt/ 美:/kʌt/,n. 伤口；切口；削减；（服装等的）式样；[体育]削球；切入 vt. 切割；削减；缩短；刺痛,
392,daily,英:/ˈdeɪli/ 美:/ˈdeɪli/,adj. 每日的；日常的 n. 日报；[美口]朝来夜去的女佣,
393,damage,英:/ˈdæmɪdʒ/ 美:/ˈdæmɪdʒ/,vi. 损害；损毁；赔偿金 n. 损害；损毁,
394,dance,英:/dɑːns/ 美:/dæns/,n. 舞蹈；舞曲；舞会 vi. 跳舞；飘扬；跳跃,
395,danger,英:/ˈdeɪndʒə(r)/ 美:/ˈdeɪndʒər/,n. 危险；危险物，威胁,
396,dangerous,英:/ˈdeɪndʒərəs/ 美:/ˈdeɪndʒərəs/,"adj. 有危险的, 危险的",
397,dark,英:/dɑːk/ 美:/dɑrk/,adj. 黑暗的，深色的；无知的；模糊的；忧郁的 n. 黑暗；黄昏；模糊；夜,
398,daughter,英:/'dɔːtə/ 美:/'dɔtɚ/,n. 女儿；子代 adj. 女儿的；子代的,
399,day,英:/deɪ/ 美:/de/,n. 一天；白昼；时期 adv. 每天；经常在白天地,
400,dead,英:/ded/ 美:/dɛd/,adj. 无生命的；废弃了的；呆板的 adv. 完全地,
401,deal,英:/diːl/ 美:/diːl/,n. 协定；交易；大量 v. 应付；分配；处理；交易；经营,
402,death,英:/deθ/ 美:/deθ/,n. 死；死亡；死神；毁灭,
403,debt,英:/det/ 美:/det/,n. 债务；借款；罪过,
404,decay,英:/dɪˈkeɪ/ 美:/dɪˈkeɪ/,vi. 腐烂，腐朽；衰退，衰减 n. 衰退，衰减；腐烂，腐朽,
405,deceive,英:/dɪˈsiːv/ 美:/dɪˈsiːv/,v. 欺骗；行骗,
406,decide,英:/dɪ'saɪd/ 美:/dɪ'saɪd/,vt. 决定；判决；解决 vi. 决定，下决心,
407,decision,英:/dɪ'sɪʒ(ə)n/ 美:/dɪ'sɪʒn/,n. 决定，决心；决议,
408,decorate,英:/ˈdekəreɪt/ 美:/ˈdekəreɪt/,vt. 装饰；布置；授勋给 vi. 装饰；布置,
409,decoration,英:/ˌdekəˈreɪʃn/ 美:/ˌdekəˈreɪʃn/,"n. 装饰,装潢 装饰品 奖章,勋章",
410,decrease,英:/dɪˈkriːs/ 美:/dɪˈkriːs/,n. 减少，减小；减少量 vi. 减少，减小,
411,deep,英:/di:p/ 美:/dip/,n. 深处；深渊 adj. 深的；深奥的；低沉的,
412,defeat,英:/dɪˈfiːt/ 美:/dɪˈfiːt/,vt. 击败，战胜；使…失败；挫败 n. 失败；战胜,
413,defense,英:/dɪˈfens/ 美:/dɪˈfɛns/,n. 防卫，防护；防御措施；防守 vt. 谋划抵御,
414,defend,英:/dɪˈfend/ 美:/dɪˈfend/,vt. 防护；辩护 vi. 防守；保卫,
415,definite,英:/ˈdefɪnət/ 美:/ˈdefɪnət/,adj. 确切的；一定的,
416,degree,英:/dɪˈɡriː/ 美:/dɪˈɡriː/,n. 程度，等级；度；学位；阶层,
417,deliberate,英:/dɪˈlɪbərət/ 美:/dɪˈlɪbərət/,adj. 深思熟虑的；故意的；从容不迫的 v. 仔细考虑；研讨,
418,deliberately,英:/dɪˈlɪbərɪtlɪ/ 美:/dɪ'lɪbərətli/,"adv. 慎重地;谨慎地 故意地,蓄意地 从容不迫地,不慌不忙地",
419,deliver,英:/dɪˈlɪvə(r)/ 美:/dɪˈlɪvər/,vt. 发表；递送；释放；给予（打击）；交付；给…接生 vi. 传送；投递；履行；实现,
420,demand,英:/dɪˈmɑːnd/ 美:/dɪˈmænd/,vt. 要求；需要；查询 vi. 请求；查问；需要,
421,department,英:/dɪˈpɑːtmənt/ 美:/dɪˈpɑːrtmənt/,"n. 部, 部门, 系",
422,depend,英:/dɪ'pend/ 美:/dɪ'pɛnd/,vi. 依赖，依靠；相信，信赖；取决于,
423,dependent,英:/dɪˈpendənt/ 美:/dɪˈpendənt/,adj. 依靠的；依赖的；从属的,
424,depth,英:/depθ/ 美:/depθ/,n. 深度；深奥,
425,describe,英:/dɪˈskraɪb/ 美:/dɪˈskraɪb/,vt. 描述，形容；描绘,
426,description,英:/dɪˈskrɪpʃn/ 美:/dɪˈskrɪpʃn/,n. 描述；刻画；类型；说明书,
427,desert,英:/ˈdezət/ 美:/ˈdezərt/,vt. 遗弃；放弃；逃跑 vi. 遗弃；逃掉；开小差,
428,deserve,英:/dɪˈzɜːv/ 美:/dɪˈzɜːrv/,vi. 应受，应得 vt. 应受，应得,
429,design,英:/dɪˈzaɪn/ 美:/dɪˈzaɪn/,vt. 设计；计划；构思 n. 设计；图案,
430,desirable,英:/dɪˈzaɪərəbl/ 美:/dɪˈzaɪərəbl/,adj. 令人满意的；性感的；有吸引力的；值得的；令人向往的 n. 有吸引力的人或物,
431,desk,英:/desk/ 美:/desk/,n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架 adj. 书桌的；桌上用的；伏案做的,
432,destroy,英:/dɪˈstrɔɪ/ 美:/dɪˈstrɔɪ/,vt. 毁坏；破坏；消灭,
433,destruction,英:/dɪˈstrʌkʃn/ 美:/dɪˈstrʌkʃn/,"n. 破坏, 毁灭, 消灭",
434,detail,英:/ˈdiːteɪl/ 美:/ˈdiːteɪl/,n. 细节，详情 vt. 详述；选派,
435,determination,英:/dɪˌtɜːmɪˈneɪʃn/ 美:/dɪˌtɜːrmɪˈneɪʃn/,n. 决心；测定；规定；(正式)决定；定位,
436,determined,英:/dɪˈtɜːmɪnd/ 美:/dɪˈtɜːrmɪnd/,adj. 坚定的；坚决的；果断的；确定的，既定的,
437,develop,英:/dɪ'veləp/ 美:/dɪ'vɛləp/,vt. 开发；使成长；进步；使显影 vi. 发育；生长；显露；进化,
438,dictionary,英:/'dɪkʃ(ə)n(ə)rɪ/ 美:/'dɪkʃə'nɛri/,"n. 词典, 字典",
439,die,英:/daɪ/ 美:/daɪ/,v. 死；枯竭；消失；渴望 n. 骰子；印模；金属模子,
440,difference,英:/'dɪf(ə)r(ə)ns/ 美:/'dɪfrəns/,n. 差异；不同；争执,
441,difficult,英:/'dɪfɪk(ə)lt/ 美:/'dɪfɪkəlt/,adj. 困难的；艰难的；(人)难对付的；不易相处的,
442,difficulty,英:/ˈdɪfɪkəlti/ 美:/ˈdɪfɪkəlti/,n. 困难；争议；麻烦,
